date,player,asset,volume,price
2020-01-01,Alice,Equipment,-2030,7.1586215321268085
2020-01-01,Alice,Equipment,-1010,7.161543824536829
2020-01-01,Alice,Equipment,-1060,7.158171012344664
2020-01-01,Alice,Equipment,1390,6.960806828002154
2020-01-01,Alice,Medicine,360,38.59416726229522
2020-01-01,Alice,Medicine,-230,39.55575454928062
2020-01-01,Alice,Medicine,-320,39.5695424724301
2020-01-01,Alice,Medicine,-110,39.635139983576316
2020-01-01,Alice,Medicine,-130,39.517004112128596
2020-01-01,Alice,Medicine,370,38.62542720304262
2020-01-01,Alice,Medicine,70,38.51032299681524
2020-01-01,Alice,Medicine,170,38.63811281089582
2020-01-01,Alice,Metals,3910,3.075624328844149
2020-01-01,Alice,Metals,5100,3.072315920269928
2020-01-01,Alice,Metals,2250,3.0742352331190927
2020-01-01,Alice,Metals,3700,3.0726896155714263
2020-01-01,Alice,Metals,-810,3.1242109946606984
2020-01-01,Alice,Software,-10,21.546806986851085
2020-01-01,Alice,Software,-220,21.525024076929864
2020-01-01,Alice,Software,310,21.042678733564554
2020-01-01,Alice,Software,370,21.018964924433334
2020-01-01,Alice,Software,-290,21.506860296544545
2020-01-01,Alice,Software,-890,21.514003520445815
2020-01-01,Alice,Software,-450,21.52722604953501
2020-01-01,Alice,Software,790,20.999306603607877
2020-01-01,Alice,StarGems,10,953.5328350593826
2020-01-01,Alice,StarGems,10,952.2054571885159
2020-01-01,Alice,StarGems,20,951.5350526506061
2020-01-01,Alice,StarGems,10,952.9810736564065
2020-01-01,Alice,StarGems,10,952.2340143479597
2020-01-01,Alice,Uranium,-30,549.4052519533315
2020-01-01,Alice,Uranium,20,537.1088792912371
2020-01-01,Alice,Uranium,30,538.0163343277742
2020-01-01,Alice,Uranium,30,538.0540113400589
2020-01-01,Bob,Equipment,-1580,7.393713199774202
2020-01-01,Bob,Equipment,-840,7.393409031795604
2020-01-01,Bob,Equipment,-1950,7.388694182284581
2020-01-01,Bob,Equipment,-660,7.39965992573381
2020-01-01,Bob,Equipment,1350,7.220068878001053
2020-01-01,Bob,Medicine,-260,37.73408866820534
2020-01-01,Bob,Medicine,-150,37.73856501943222
2020-01-01,Bob,Medicine,-470,37.66500053818429
2020-01-01,Bob,Medicine,-210,37.75214419576225
2020-01-01,Bob,Metals,-6660,3.0304993477279063
2020-01-01,Bob,Metals,2910,2.963450268871866
2020-01-01,Bob,Metals,3440,2.961613495149324
2020-01-01,Bob,Metals,6140,2.9670732413960796
2020-01-01,Bob,Metals,4240,2.9650024743473713
2020-01-01,Bob,Software,610,19.438540453590104
2020-01-01,Bob,Software,680,19.43821884811401
2020-01-01,Bob,Software,-530,19.995478888852265
2020-01-01,Bob,Software,-160,19.995035195103938
2020-01-01,Bob,Software,-120,20.0117865633963
2020-01-01,Bob,Software,420,19.45094735728182
2020-01-01,Bob,StarGems,-10,973.1381437531452
2020-01-01,Bob,StarGems,-10,973.2349676359416
2020-01-01,Bob,StarGems,10,944.1577703893597
2020-01-01,Bob,StarGems,-10,975.2423850614873
