date,player,asset,trade#,sentiment,regret,edge,buy,sign,direction,volume,star,asset_price,price,mark
2020-01-01,Alice,Equipment,3,0.021445371975734165,0.0009795357184713912,1.0002153605937383,True,-1,buy,-2030,Sink,7.157080179090007,7.1586215321268085,7.1656336576125454
2020-01-01,Alice,Equipment,6,0.013206924435432364,-0.00026808318605929,1.0006236684982044,True,-1,buy,-1010,Sink,7.157080179090007,7.161543824536829,7.159623935051243
2020-01-01,Alice,Equipment,8,-0.0007527518285259543,-0.00035988400903568364,1.000152413166733,True,-1,buy,-1060,Sink,7.157080179090007,7.158171012344664,7.155594901063379
2020-01-01,Alice,Equipment,9,-0.026153015071772152,-0.000779488920152171,1.0012811851880572,False,1,sell,1390,Sink,6.951900156492803,6.960806828002154,6.955380956204407
2020-01-01,Alice,Medicine,1,-0.043877588802106016,-0.00019731465607213773,1.0006437585713792,False,1,sell,360,Sink,38.56933792041653,38.59416726229522,38.58655206745547
2020-01-01,Alice,Medicine,2,-0.02922931719082852,0.0007772787097154032,0.9994645389180091,True,-1,buy,-230,Sink,39.57694646385605,39.55575454928062,39.5865003951385
2020-01-01,Alice,Medicine,3,-0.015120555330160887,0.00010856190461320796,0.9998129216099905,True,-1,buy,-320,Sink,39.57694646385605,39.5695424724301,39.57383821732559
2020-01-01,Alice,Medicine,4,-0.01608917642295474,-0.00040462902319842505,1.0014703893281258,True,-1,buy,-110,Sink,39.57694646385605,39.635139983576316,39.619102455600434
2020-01-01,Alice,Medicine,5,-0.017794966563546826,-8.975207175357817e-05,0.9984854225228771,True,-1,buy,-130,Sink,39.57694646385605,39.517004112128596,39.51345737914004
2020-01-01,Alice,Medicine,6,-0.025621000504728438,-2.0701289321973447e-05,1.001454245409704,False,1,sell,370,Sink,38.56933792041653,38.62542720304262,38.624627606898905
2020-01-01,Alice,Medicine,8,-0.020984921662895974,-0.0005665507167067629,0.9984699005276404,False,1,sell,70,Sink,38.56933792041653,38.51032299681524,38.488504945720784
2020-01-01,Alice,Medicine,9,0.019709863848765954,-0.00047322464865050907,1.0017831493665046,False,1,sell,170,Sink,38.56933792041653,38.63811281089582,38.619828303536366
2020-01-01,Alice,Metals,0,0.022441620561553376,-0.000997616182162946,1.0003590704164156,False,1,sell,3910,Sink,3.0745203595383717,3.075624328844149,3.07255603624344
2020-01-01,Alice,Metals,1,0.039622621977324676,-0.0001859793233990645,0.9992829973424621,False,1,sell,5100,Sink,3.0745203595383717,3.072315920269928,3.071744533033808
2020-01-01,Alice,Metals,2,0.020181757203254963,-0.0005674525989460752,0.999907261495799,False,1,sell,2250,Sink,3.0745203595383717,3.0742352331190927,3.0724907503462875
2020-01-01,Alice,Metals,3,0.01635918447519936,-0.001077878793920068,0.9994045432285834,False,1,sell,3700,Sink,3.0745203595383717,3.0726896155714263,3.0693776285945034
2020-01-01,Alice,Metals,5,-0.05335023241630073,-7.562451787965171e-05,0.9999155933556643,True,-1,buy,-810,Sink,3.1244747210872172,3.1242109946606984,3.123974727710473
2020-01-01,Alice,Software,0,0.003170333933330869,0.00014242318312322508,1.0006848648853752,True,-1,buy,-10,Sink,21.532060434749546,21.546806986851085,21.549875751688294
2020-01-01,Alice,Software,1,-0.008302591128914754,-0.0005119006907547622,0.9996732148397499,True,-1,buy,-220,Sink,21.532060434749546,21.525024076929864,21.514005402236368
2020-01-01,Alice,Software,3,0.011243000961834958,-0.0003415085847064846,1.000706638505184,False,1,sell,310,Sink,21.027819666508137,21.042678733564554,21.03549247813182
2020-01-01,Alice,Software,4,0.04803495815142311,-0.00020493529308387157,0.9995789034614508,False,1,sell,370,Sink,21.027819666508137,21.018964924433334,21.014657396696226
2020-01-01,Alice,Software,5,0.03679165130850651,0.0003502362121015828,0.9988296457609633,True,-1,buy,-290,Sink,21.532060434749546,21.506860296544545,21.514392777829002
2020-01-01,Alice,Software,6,-0.02903797453434359,0.0005118285974235024,0.999161394035724,True,-1,buy,-890,Sink,21.532060434749546,21.514003520445815,21.525015002692648
2020-01-01,Alice,Software,7,-0.032092435419918026,0.0004193796404125576,0.9997754796746374,True,-1,buy,-450,Sink,21.532060434749546,21.52722604953501,21.536254129854743
2020-01-01,Alice,Software,9,-0.017031416152597508,0.00010214837024853605,0.998644031413981,False,1,sell,790,Sink,21.027819666508137,20.999306603607877,21.001451648553786
2020-01-01,Alice,StarGems,1,0.030647578435563927,-0.0005268273870803269,1.000648103636568,False,1,sell,10,Sink,952.9152472223167,953.5328350593826,953.0304878473929
2020-01-01,Alice,StarGems,2,0.019031451486610694,0.0005593704284391444,0.9992551383390393,False,1,sell,10,Sink,952.9152472223167,952.2054571885159,952.7380927630655
2020-01-01,Alice,StarGems,4,-0.02494868806396215,-2.046930633531539e-06,0.9985516082613498,False,1,sell,20,Sink,952.9152472223167,951.5350526506061,951.5331049243579
2020-01-01,Alice,StarGems,5,0.016096274096537966,0.0003435793546554898,1.0000690790018123,False,1,sell,10,Sink,952.9152472223167,952.9810736564065,953.3084982786924
2020-01-01,Alice,StarGems,9,0.028379478175841633,-0.0002738216930376167,0.9992851065440052,False,1,sell,10,Sink,952.9152472223167,952.2340143479597,951.9732720179829
2020-01-01,Alice,Uranium,1,-0.023407757420183094,0.00014397960518683345,1.001830246973235,True,-1,buy,-30,Sink,548.4015416915331,549.4052519533315,549.4843551045952
2020-01-01,Alice,Uranium,3,0.030045772247936822,0.000412733490734221,0.9996926665266528,False,1,sell,20,Sink,537.2740015762807,537.1088792912371,537.3305621138913
2020-01-01,Alice,Uranium,6,-0.012934803879950421,-0.00027034229702778417,1.0013816651267613,False,1,sell,30,Sink,537.2740015762807,538.0163343277742,537.8708857561136
